rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"VERB(PUNCT/punct, *, NOUN/obl)",0.003713259381876941,0.011252192790607117,0.016377751272097018,0.023642465670483614,-0.007538933408730176,0.007538933408730176,295,1031,1326,5.4730983302411875,19.124466703765535,12585022.0,1.0661186471863455e-98,-0.3706981774188225,True,True,llm
"ADJ(PUNCT/punct, *, NOUN/obl, PUNCT/punct)",0.0005341825003975119,0.008014455978190027,0.006724796161781202,0.023530528409835157,-0.007480273477792516,0.007480273477792516,36,583,619,0.6679035250463822,10.81432016323502,13057354.0,5.872982189345535e-113,-0.43226709820694365,True,True,llm
"VERB(PRON/nsubj, *, NOUN/obj)",0.008456802111548908,0.015838887625702416,0.021245748949952528,0.022276001748395648,-0.007382085514153508,0.007382085514153508,846,1879,2725,15.695732838589981,34.85438694119829,11973427.0,2.4742979032635802e-95,-0.33914159770264163,True,True,llm
"PROPN(*, PROPN/flat:name, NOUN/appos)",0.005110882102785646,0.012450424335751156,0.01950105616996329,0.023326590213607633,-0.00733954223296551,0.00733954223296551,390,1239,1629,7.2356215213358075,22.982749026154703,12375404.0,1.73490156532664e-101,-0.34138864325548296,True,True,llm
"NOUN(ADP/case, DET/det, ADJ/amod, *)",0.007702366269757025,0.015024638702868274,0.020263354568809504,0.023354390644913917,-0.007322272433111249,0.007322272433111249,747,1645,2392,13.85899814471243,30.51381932851048,12256380.0,2.551520574515194e-83,-0.3349074980201644,True,True,llm
"PROPN(ADP/case, *)",0.016574816390520324,0.02383235447736541,0.018586941107996163,0.011140586526309294,-0.0072575380868450876,0.0072575380868450876,2610,4615,7225,48.42300556586271,85.60563902800965,11856111.0,1.1299286296821843e-63,-0.4736377033860758,True,True,llm
"ADJ(ADV/advmod, *)",0.008804872539928482,0.0160410508934025,0.020015790766396827,0.021878945414936245,-0.007236178353474017,0.007236178353474017,956,1956,2912,17.736549165120593,36.28269337785198,12043163.0,3.3741722270933485e-86,-0.345104603108901,True,True,llm
"NOUN(DET/det, *, ADJ/amod, VERB/acl:relcl)",0.0022356529609012885,0.009446611544394414,0.01354038077440631,0.02406789435238633,-0.007210958583493125,0.007210958583493125,163,747,910,3.0241187384044528,13.856427378964941,12960813.0,4.303177247900023e-90,-0.3692819212705033,True,True,llm
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj)",0.0026663651131768286,0.009763498180108394,0.014212099604638331,0.023623785903300873,-0.007097133066931566,0.007097133066931566,201,816,1017,3.7291280148423005,15.13633834168058,12888447.5,3.740978218235435e-89,-0.36405918891400474,True,True,llm
"VERB(PRON/nsubj, *, VERB/xcomp)",0.004449226238666858,0.011540850663013264,0.017155948851342227,0.023370566901604467,-0.0070916244243464065,0.0070916244243464065,373,1092,1465,6.920222634508349,20.255982192543126,12635509.5,3.775554767194721e-86,-0.34593084533466995,True,True,llm
"PROPN(DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0.0005733772497383776,0.0076389023495218615,0.007602239526003602,0.02381591039110005,-0.007065525099783484,0.007065525099783484,32,520,552,0.5936920222634509,9.645705805972918,13217602.0,3.600948665306102e-100,-0.3996891320426765,True,True,llm
"VERB(CCONJ/cc, *, NOUN/obj)",0.010701342500596615,0.017729750981979108,0.021988929319771814,0.021618098218679323,-0.007028408481382493,0.007028408481382493,1168,2256,3424,21.669758812615957,41.84752365052866,11978287.0,2.0728453669256437e-81,-0.32234044629092673,True,True,llm
