rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"PUNCT(PUNCT/punct, *, PUNCT/punct)",0.001436880963739079,7.252016623649549e-05,0.01336483872564222,0.0026725774517731274,0.0013643607975025835,0.0013643607975025835,66,4,70,1.2244897959183674,0.07419773696902245,14695926.0,1.0258374400875859e-13,0.1415683846959595,True,True,human
"NOUN(PRON/nsubj, AUX/cop, ADP/case, DET/det, *)",0.0015156996130022502,0.00016684873239371754,0.014758702104819386,0.0047147216607472285,0.0013488508806085327,0.0013488508806085327,61,7,68,1.1317254174397031,0.12984603969578928,14674331.0,5.00593997292031e-11,0.12312039293117291,True,True,human
"VERB(NOUN/nsubj, *, VERB/xcomp)",0.0017873109896986608,0.0004736548634063855,0.016074074239282463,0.007732545518791476,0.0013136561262922753,0.0013136561262922753,74,21,95,1.37291280148423,0.38953811908736785,14671667.0,4.6479301026772067e-08,0.1041521790280004,True,True,human
"X(PUNCT/punct, *)",0.0015373763791462294,0.00022457626786220107,0.014330746301448068,0.004905697340993141,0.0013128001112840283,0.0013128001112840283,66,12,78,1.2244897959183674,0.22259321090706732,14674465.0,8.066330170297834e-10,0.12256957319303523,True,True,human
"VERB(SCONJ/mark, *, NOUN/obj, NOUN/obl)",0.0023635274999859778,0.001060443122104952,0.01750087809692404,0.010345807514145445,0.0013030843778810259,0.0013030843778810259,107,58,165,1.9851576994434137,1.0758671860508255,14662071.5,0.00010425019505997102,0.09064548598371842,True,True,human
"PUNCT(ADP/case, DET/det, *)",0.0016557412862493975,0.000377245925340171,0.015373644517411337,0.006464026963258404,0.0012784953609092265,0.0012784953609092265,68,19,87,1.261595547309833,0.35243925060285664,14661048.0,1.2655206780570522e-07,0.10841471040618689,True,True,human
*(X),0.0015083431335544074,0.0002428979118337529,0.014667460318978658,0.005308793376541795,0.0012654452217206544,0.0012654452217206544,64,12,76,1.1873840445269017,0.22259321090706732,14668989.0,2.1050951009489236e-09,0.11472855277158377,True,True,human
"NOUN(*, X/nmod)",0.001554493379202468,0.0002995388484513772,0.015207987257081168,0.0059845595609297276,0.0012549545307510906,0.0012549545307510906,63,14,77,1.1688311688311688,0.25969207939157857,14660916.5,2.0442828676165022e-08,0.10859449478880703,True,True,human
"NOUN(ADP/case, *, NOUN/amod)",0.0017111006210764445,0.0004612870907879907,0.015272927814214233,0.006977016223680807,0.0012498135302884538,0.0012498135302884538,71,24,95,1.3172541743970316,0.44518642181413465,14655888.5,1.1678035904935347e-06,0.10526428399468271,True,True,human
"INTJ(PUNCT/punct, *)",0.0013974616940058506,0.0001496158383969696,0.0128262529184181,0.004434696459438335,0.001247845855608881,0.001247845855608881,70,7,77,1.2987012987012987,0.12984603969578928,14698542.0,5.816449590124701e-13,0.1300335842933596,True,True,human
"VERB(PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",0.003070431595897461,0.0018451216354642404,0.01824015017617045,0.012710725733296827,0.0012253099604332205,0.0012253099604332205,167,116,283,3.098330241187384,2.151734372101651,14668640.5,0.0017708954643126686,0.07794365317803607,True,True,human
